GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos,com.increff.pos.dto,ReportDto,0,51,0,0,0,16,0,6,0,6
pos,com.increff.pos.dto,UserDto,0,35,0,0,0,11,0,5,0,5
pos,com.increff.pos.dto,BrandDto,0,35,0,0,0,11,0,5,0,5
pos,com.increff.pos.dto,ProductDto,0,37,0,0,0,11,0,5,0,5
pos,com.increff.pos.dto,OrderDto,12,90,0,0,2,27,2,13,2,13
pos,com.increff.pos.dto,CartItemDto,0,51,0,0,0,15,0,7,0,7
pos,com.increff.pos.dto,InventoryDto,0,24,0,0,0,7,0,4,0,4
pos,com.increff.pos.helper.dtoHelper,CartItemDtoHelper,7,74,1,1,1,18,1,5,0,5
pos,com.increff.pos.helper.dtoHelper,BrandDtoHelper,14,80,2,4,2,20,2,6,0,5
pos,com.increff.pos.helper.dtoHelper,OrderItemDtoHelper,7,73,1,1,1,18,1,5,0,5
pos,com.increff.pos.helper.dtoHelper,ProductDtoHelper,28,90,4,4,4,21,4,5,0,5
pos,com.increff.pos.helper.dtoHelper,OrderDtoHelper,14,108,2,4,2,27,2,6,0,5
pos,com.increff.pos.helper.dtoHelper,InventoryDtoHelper,10,32,1,1,2,9,2,3,1,3
pos,com.increff.pos.helper.dtoHelper,ReportDtoHelper,17,23,2,2,3,5,3,1,1,1
pos,com.increff.pos.helper.dtoHelper,UserDtoHelper,3,66,0,2,1,17,1,5,1,4
pos,com.increff.pos.client,InvoiceClient,17,3,0,0,2,1,1,1,1,1
pos,com.increff.pos.helper.flowHelper,OrderFlowHelper,3,11,0,0,1,4,1,1,1,1
pos,com.increff.pos.helper.flowHelper,CartItemFlowHelper,3,76,0,4,1,15,1,5,1,3
pos,com.increff.pos.helper.flowHelper,ProductFlowHelper,3,13,0,0,1,4,1,1,1,1
pos,com.increff.pos.helper.flowHelper,InventoryFlowHelper,3,17,0,0,1,5,1,1,1,1
pos,com.increff.pos.helper.flowHelper,ReportFlowHelper,3,146,1,17,1,32,2,14,1,6
pos,com.increff.pos.flow,ProductFlow,0,85,0,2,0,21,0,6,0,5
pos,com.increff.pos.flow,CartItemFlow,1,135,1,3,1,27,1,6,0,5
pos,com.increff.pos.flow,ReportFlow,44,567,2,28,3,108,2,38,0,25
pos,com.increff.pos.flow,OrderFlow,86,328,5,11,5,64,9,17,4,14
pos,com.increff.pos.flow,InventoryFlow,0,67,0,2,0,15,0,5,0,4
pos,com.increff.pos.scheduler,ReportScheduler,7,3,0,0,5,1,1,1,1,1
pos,com.increff.pos.api,BrandApi,0,135,0,8,0,23,0,11,0,7
pos,com.increff.pos.api,CartItemApi,0,119,0,8,0,24,0,11,0,7
pos,com.increff.pos.api,OrderApi,50,176,9,9,11,43,9,14,1,13
pos,com.increff.pos.api,ProductApi,15,59,3,3,3,16,3,7,0,7
pos,com.increff.pos.api,DailyReportApi,32,19,2,0,9,5,3,4,2,4
pos,com.increff.pos.api,InvoiceClientApi,6,3,0,0,1,1,1,1,1,1
pos,com.increff.pos.api,InventoryApi,27,44,3,3,3,14,3,6,0,6
pos,com.increff.pos.api,ApiException,0,4,0,0,0,2,0,1,0,1
pos,com.increff.pos.api,UserApi,15,54,3,3,3,15,3,6,0,6
pos,com.increff.pos.util,ValidateFormUtil,68,572,19,107,14,115,20,55,1,11
pos,com.increff.pos.util,GetCurrentDateTime,3,31,0,0,1,11,1,3,1,3
pos,com.increff.pos.util,SecurityUtil,16,11,1,1,6,3,4,2,3,2
pos,com.increff.pos.util,generateRandomString,3,5,0,0,1,2,1,1,1,1
pos,com.increff.pos.util,SnakeCaseNamingStrategy,0,58,0,0,0,13,0,5,0,5
pos,com.increff.pos.util,UserPrincipal,6,18,0,0,2,3,2,5,2,5
pos,com.increff.pos.util,FormUtil,29,129,0,0,8,43,2,9,2,9
pos,com.increff.pos.util,PojoUtil,3,60,0,0,1,20,1,4,1,4
